City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
606,Teahupoo,PF,86.0,few clouds,-17.83,-149.27,Vanira Lodge
610,Umm Lajj,SA,84.69,clear sky,25.02,37.27,Moon light Furnished Units
620,Salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
621,Khowai,IN,76.15,clear sky,24.1,91.63,Bachai bari townhall
623,Zhuhai,CN,78.8,few clouds,22.28,113.57,珠海粤财假日酒店
627,Champerico,GT,87.8,few clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
628,Bontang,ID,78.35,light rain,0.13,117.5,Okra Leaf Guest House Syariah
629,Daman,IN,80.46,overcast clouds,20.42,72.85,Silver Sands Beach Resort
630,Mitsamiouli,KM,80.31,clear sky,-11.38,43.28,Foyer ADM
634,Twentynine Palms,US,89.01,clear sky,34.14,-116.05,Holiday Inn Express & Suites Twentynine Palms- Joshua Tree
641,Guerrero Negro,MX,75.38,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
642,Buchanan,LR,78.39,light rain,5.88,-10.05,Kamaneahn Hotel Inc
645,San Pedro,PH,78.8,overcast clouds,14.35,121.02,OYO 412 Viewfort Venue
646,Oriximina,BR,84.22,light rain,-1.77,-55.87,Pousada Tia Amélia
647,Bojonegoro,ID,79.03,scattered clouds,-7.15,111.88,Dewarna Hotel & Convention
648,Chochola,MX,89.6,scattered clouds,20.75,-89.83,Chablé Yucatán
651,Mecca,SA,76.86,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
652,Los Andes,CL,80.6,clear sky,-32.83,-70.6,Hotel Los Andes
655,Padang,ID,78.12,overcast clouds,-0.95,100.35,Mercure Padang
657,Kihei,US,87.8,scattered clouds,20.79,-156.47,Maui Sunset
658,Orocue,CO,80.1,moderate rain,4.79,-71.34,Hotel Brisas de San Miguel
660,Haapiti,PF,86.0,few clouds,-17.57,-149.87,Linareva Moorea Beach Resort
662,Houston,US,90.0,clear sky,29.76,-95.36,"Hotel ICON, Autograph Collection"
666,Mayumba,GA,76.78,overcast clouds,-3.43,10.66,LIKWALE LODGE
669,San Policarpo,PH,77.74,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
673,Jardim,BR,85.66,scattered clouds,-21.48,-56.14,Hotel Estância
677,Loandjili,CG,76.39,light rain,-4.76,11.86,Résidence ARCHANGE
678,La Asuncion,VE,86.0,broken clouds,11.03,-63.86,Colinas de Matasiete
680,Sao Paulo De Olivenca,BR,83.62,broken clouds,-3.38,-68.87,
688,Boyuibe,BO,87.8,broken clouds,-20.42,-63.28,Residencial Eluzai
691,Petrolina,BR,89.6,broken clouds,-9.4,-40.5,JB Hotel
696,San Lorenzo,PY,91.4,clear sky,-25.33,-57.53,Ámbar Hotel
697,Coatzintla,MX,86.0,clear sky,20.48,-97.45,Poza Rica Inn Hotel
698,Vega De Alatorre,MX,82.26,light rain,20.03,-96.63,Hotel Deluxe
708,Mahajanga,MG,77.0,scattered clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
710,Port Keats,AU,85.32,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
714,Luganville,VU,84.2,scattered clouds,-15.53,167.17,The Espiritu Hotel
