City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Tecoanapa,MX,16.52,-98.75,84.11,70,81,4.72,broken clouds
147,Tessalit,ML,20.2,1.01,85.19,30,29,10.85,scattered clouds
148,La Ronge,CA,55.1,-105.28,41.0,52,75,21.92,broken clouds
149,Jalu,LY,29.03,21.55,76.84,31,2,11.83,clear sky
150,Cocobeach,GA,1.0,9.58,78.8,88,40,6.93,thunderstorm with light rain
151,Acapulco,MX,16.86,-99.89,87.8,66,20,9.17,few clouds
152,Vila Velha,BR,-20.33,-40.29,73.99,100,90,3.36,light rain
153,Severo-Kurilsk,RU,50.68,156.12,48.49,74,71,15.55,broken clouds
154,Berlevag,NO,70.86,29.09,37.58,90,97,9.6,light rain
155,Udachnyy,RU,66.42,112.4,12.2,92,0,4.47,clear sky
156,Beringovskiy,RU,63.05,179.32,28.27,96,94,14.61,overcast clouds
157,Vanimo,PG,-2.67,141.3,82.8,76,98,5.03,light rain
158,Marsa Matruh,EG,31.35,27.25,66.2,72,20,7.27,few clouds
159,Makakilo City,US,21.35,-158.09,82.4,74,1,6.93,clear sky
160,Byron Bay,AU,-28.65,153.62,69.8,68,8,6.93,clear sky
161,Roseburg,US,43.22,-123.34,72.0,52,40,8.05,scattered clouds
162,Maarianhamina,AX,60.1,19.93,44.6,87,40,1.12,scattered clouds
163,Rawson,AR,-43.3,-65.1,70.03,24,19,12.28,few clouds
164,Mbandaka,CD,0.05,18.26,71.64,92,36,1.34,scattered clouds
165,Flinders,AU,-34.58,150.86,77.0,74,0,1.99,clear sky
166,Bambous Virieux,MU,-20.34,57.76,71.6,94,40,6.93,shower rain
167,Sibolga,ID,1.74,98.78,75.96,74,98,2.82,overcast clouds
168,Ankola,IN,14.67,74.3,76.53,89,100,5.12,light rain
169,Dunedin,NZ,-45.87,170.5,52.0,78,20,7.0,few clouds
170,Benghazi,LY,32.12,20.07,77.02,69,24,9.73,few clouds
171,Teofilo Otoni,BR,-17.86,-41.51,71.73,75,96,5.55,overcast clouds
172,Nikolskoye,RU,59.7,30.79,48.0,93,20,2.24,light rain
173,Chokurdakh,RU,70.63,147.92,17.56,96,29,3.65,scattered clouds
174,Kloulklubed,PW,7.04,134.26,82.4,83,75,8.05,broken clouds
175,Amuntai,ID,-2.42,115.25,75.94,85,96,0.65,overcast clouds
176,Arraial Do Cabo,BR,-22.97,-42.03,73.4,73,75,19.46,broken clouds
177,Barrow,US,71.29,-156.79,24.8,79,90,6.93,overcast clouds
178,Monrovia,LR,6.3,-10.8,77.54,87,100,9.31,moderate rain
179,Auray,FR,47.67,-2.99,53.01,96,48,1.01,scattered clouds
180,Mirnyy,RU,62.54,113.96,17.6,85,94,8.95,light snow
181,Hilo,US,19.73,-155.09,86.0,58,40,6.93,scattered clouds
182,Mayskiy,RU,47.69,40.1,60.8,67,0,8.95,clear sky
183,Thinadhoo,MV,0.53,72.93,81.79,75,55,15.39,broken clouds
184,Dandong,CN,40.13,124.39,45.81,56,0,1.81,clear sky
185,Dicabisagan,PH,17.08,122.42,78.98,83,100,3.09,overcast clouds
186,Huarmey,PE,-10.07,-78.15,65.91,75,8,9.01,clear sky
187,Alpena,US,45.06,-83.43,62.6,82,90,10.29,overcast clouds
188,Yining,CN,29.04,114.56,59.88,84,0,2.77,clear sky
189,Garden City,US,42.33,-83.33,69.8,73,90,6.93,light intensity drizzle
190,Masvingo,ZW,-20.06,30.83,59.86,88,100,6.22,overcast clouds
191,Khatanga,RU,71.97,102.5,26.4,98,98,14.38,overcast clouds
192,Camacha,PT,33.08,-16.33,69.8,77,20,13.87,few clouds
193,Molde,NO,62.74,7.16,41.0,80,26,8.05,scattered clouds
194,Xichang,CN,27.9,102.26,62.49,76,95,1.81,overcast clouds
195,Bandarbeyla,SO,9.49,50.81,79.02,80,49,6.93,scattered clouds
196,Arrecife,ES,28.96,-13.55,77.0,57,8,10.29,clear sky
197,Aasiaat,GL,68.71,-52.87,28.72,94,99,2.71,overcast clouds
198,Praia,CV,14.92,-23.51,77.0,78,20,6.93,few clouds
199,Dukat,RU,62.55,155.55,33.06,81,100,5.86,overcast clouds
200,Tonk,IN,26.17,75.78,76.37,27,0,5.59,clear sky
